,word,count
8,香り,1712
65,カフェイン,1586
129,味,1286
157,美味しい,901
58,アール,704
44,カフェ,688
59,グレイ,671
78,飲ん,644
153,思い,562
117,購入,559
66,レス,520
108,デ,513
166,ティー,505
126,飲み,505
317,良い,435
151,いる,432
60,あり,385
42,いい,371
68,飲む,370
23,する,318
158,飲め,311
4,普通,302
98,美味しく,285
238,ある,284
142,好き,282
105,デカ,273
299,ミルク,271
281,なっ,256
28,ない,245
154,妊娠,240
21,なく,228
88,なり,226
75,商品,223
174,飲める,220
370,おいしい,214
14,入れ,203
167,パック,201
19,入っ,195
124,風味,195
400,夜,190
446,値段,187
246,満足,182
37,買っ,179
136,やすい,176
507,良く,175
442,薄い,172
120,み,171
416,安心,167
12,ベルガモット,166
104,なる,165
188,探し,161
376,寝る,158
38,リピート,149
253,バッグ,147
9,包装,145
273,コーヒー,143
251,茶,140
70,パ,139
16,思っ,139
69,コス,138
228,試し,137
162,杯,137
175,嬉しい,133
94,入り,133
260,授乳,132
159,お茶,128
82,価格,122
97,買い,121
252,葉,120
189,妊婦,119
519,安い,116
96,き,114
6,箱,114
304,ストレート,110
409,袋,110
380,量,108
35,得,107
492,リピ,105
106,フェ,102
48,高い,101
53,良かっ,100
72,しれ,100
134,大好き,99
666,美味しかっ,98
192,でき,97
26,渋み,96
403,普段,95
233,フレーバー,93
155,期待,93
51,レビュー,92
339,残念,91
263,定期,91
13,お湯,87
506,あっ,85
873,好み,84
333,られ,84
230,スーパー,84
1028,味わい,84
433,多い,81
315,少ない,79
17,抽出,78
818,おすすめ,76
11,匂い,76
205,おり,75
601,ありがたい,73
85,１,73
686,パッケージ,72
179,出,72
1094,色,72
880,為,72
235,すぎ,71
731,香料,70
581,物,70
210,いう,68
371,安く,67
503,なし,66
569,問題,65
2,苦手,65
358,飲み物,65
419,デカフェ,64
868,無い,63
594,一番,63
712,変わら,63
77,気に入っ,62
15,違う,61
457,強い,60
280,悪く,59
456,クセ,59
510,できる,59
517,比べ,58
591,助かり,58
369,よく,57
438,ルイボスティー,57
638,れる,57
55,しまい,57
821,苦味,57
415,思え,57
487,楽しめ,56
806,美味し,55
95,愛飲,55
295,個人,55
505,無く,55
178,分,54
552,淹,54
346,最近,53
496,容量,53
495,なかっ,53
1485,プレゼント,53
211,オススメ,53
264,便,53
320,おいしく,53
146,思う,53
800,よい,51
345,使っ,51
619,リプトン,51
680,砂糖,51
967,評価,51
27,強く,51
86,０,51
150,売っ,50
186,入れる,50
122,最初,49
1000,比べる,49
677,見つけ,49
89,買う,49
728,コスパ,49
291,濃く,49
2078,アップル,48
1081,♪,48
80,出し,48
963,手頃,48
22,紙,48
609,感じる,48
989,薄く,48
836,高く,47
259,子供,47
1065,お気に入り,47
257,非常,46
311,楽しみ,46
417,最高,46
430,気分,46
336,しまう,46
101,ん,46
301,手軽,45
856,注文,45
173,弱い,45
1275,製品,44
576,勧め,44
1043,良し,44
325,で,44
593,イニング,44
592,トワ,44
647,楽しめる,44
356,眠れ,44
847,渋,44
149,笑,43
314,通常,43
534,癖,43
127,続け,43
1182,出来,43
43,なら,42
648,フルーツ,42
116,p,42
558,就寝,42
329,物足りない,42
352,飲ま,42
700,アマゾン,41
427,すぎる,41
1097,気持ち,41
338,アルミ,41
583,印象,41
79,濃いめ,40
187,め,40
219,妻,39
1017,ディカフェ,39
284,飲料,39
804,遜色,39
10,開け,39
1318,言わ,39
674,作っ,38
439,飽き,38
278,せい,38
40,よかっ,38
739,濃い,38
321,おい,38
212,一,38
1754,甘,37
538,２,37
1202,コク,37
177,十,37
121,正直,36
63,言っ,36
367,知り,36
681,心配,36
2096,ピーチ,36
309,amazon,36
395,言え,35
471,カップ,35
147,置い,35
300,やすく,35
323,過ぎ,35
740,ミルクティ,35
766,家族,34
165,アーマッド,34
832,番,34
769,つけ,34
922,考え,34
588,しよ,33
820,特有,33
318,グレー,33
1178,に,33
169,便利,33
1149,程度,33
995,重宝,33
332,独特,32
1456,甘い,32
170,職場,32
1428,喜ん,32
1189,優しい,32
354,午後,32
464,一緒,32
657,大丈夫,32
100,飲,32
455,ハーブ,31
1002,渋く,31
437,控えめ,31
678,落ち,31
1067,ゼロ,31
34,苦み,31
172,胃,31
52,星,31
857,少なく,31
732,近所,31
529,し,31
1046,リラックス,31
393,薄め,31
160,でる,31
515,少なめ,30
974,言う,30
36,pc,30
543,しまっ,30
855,すごく,30
404,除去,30
386,大変,30
1256,癒さ,29
208,ダメ,29
834,授乳期,29
504,メーカー,29
171,使用,29
434,好評,28
432,変,28
381,梱包,28
305,ホット,28
659,バック,28
312,店頭,28
294,g,28
501,コレ,28
575,みる,28
580,人工,28
805,いただけ,27
399,朝,27
1049,頂け,27
704,ら,27
956,若干,27
979,合う,27
497,タイプ,26
361,麦茶,26
33,っぽい,26
31,残り,26
1268,種類,26
447,くれ,26
1092,おいしかっ,26
183,いけ,26
310,出る,26
947,変わり,26
1177,気,26
93,ahmad,26
1042,最適,25
1166,使い,25
224,当たり,25
1290,デカフェアールグレイ,25
2127,アッサム,25
1293,期限,25
123,物足りな,25
266,劣り,25
973,楽しむ,25
277,か,25
272,始め,25
867,産後,25
1114,友達,25
633,お買い得,25
46,レンジ,24
875,足り,24
483,控え,24
468,持っ,24
1206,臭い,24
546,上品,24
1145,以外,24
998,睡眠,24
1429,い,24
679,保存,24
599,仕方,24
708,いれ,24
794,通り,23
723,の,23
482,トイレ,23
685,柑橘,23
443,十分,23
640,楽し,23
1099,感覚,22
1426,イイ,22
602,個別,22
389,いただき,22
1116,気軽,22
180,マグカップ,22
111,摂取,22
1164,出産,22
913,リピーター,22
1160,安価,22
547,香水,22
959,いただい,22
110,れ,22
845,タイム,22
302,水分,22
344,派,22
109,慣れ,22
334,開封,22
707,アイスティー,21
803,早く,21
459,まずい,21
536,感想,21
561,いっ,21
565,すごい,21
1023,強め,21
1292,賞味,21
994,香る,21
1348,あまり,21
1361,牛乳,21
275,々,21
1093,日東,20
340,弱め,20
1110,甘み,20
1273,他社,20
1228,ボス,20
1510,違和感,20
568,わ,20
842,届き,20
761,かなり,20
1212,薄,20
1227,ルイ,20
486,good,20
631,３,20
204,さ,20
388,素晴らしい,20
675,冷やし,20
452,レモン,20
206,知っ,20
373,入る,19
895,買え,19
699,出来る,19
992,娘,19
234,強,19
1192,ほのか,19
113,体質,19
1814,包,19
342,割,19
445,びっくり,19
942,られる,19
2316,生姜,19
928,うれしい,19
182,ポット,19
1019,から,19
248,毎朝,19
144,生活,19
288,高め,19
245,リーズナブル,19
